bus,direction,asset,carrier,facade_type,2021-01-01 00:00:00,2021-01-01 01:00:00,2021-01-01 02:00:00,2021-01-01 03:00:00,investments,flow_min,flow_max,aggregated_flow,marginal_cost,carrier_cost,capacity_cost,storage_capacity_cost,capacity,expandable,storage_capacity,efficiency,capex,opex_fix,lifetime,ghg_emission_factor,land_requirement_factor,water_footprint_factor,capacity_total,capacity_added,annuity_total,upfront_investment_costs,opex_fix_costs_total,variable_costs_total,ghg_emissions,land_requirement_additional,land_requirement_total,water_footprint
ac-elec-bus,in,battery-storage,electricity,storage,0.0,0.0,0.0,,-0.0,0.0,0.0,0.0,,,0.0,106.91,0.0,1.0,0.0,0.92,647.0,19.0,10.0,,3.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,,,-0.0,0.0,0.0
ac-elec-bus,in,elec-demand,electricity,load,20.0,40.0,60.0,,,20.0,60.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,
ac-elec-bus,in,electricity-excess,electricity,excess,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
ac-elec-bus,in,sw-ro,electricity,ro,80.0,160.0,240.0,,,80.0,240.0,480.0,1.05,0.0,301.74,,0.0,1.0,,,2000.0,30.0,10.0,0.0,10.0,50.0,,,,,,0.0,0.0,,,24000.0
ac-elec-bus,in,water pump,electricity,water-pump,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,450.92,,0.0,1.0,,,5000.0,15.0,20.0,0.0,0.5,5.0,,,,,,0.0,0.0,,,0.0
ac-elec-bus,in,water-filtration-system,electricity,water-filtration,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,109.48,,0.0,1.0,,,1250.0,0.5,20.0,0.2,1.2,0.2,,,,,,0.0,0.0,,,0.0
ac-elec-bus,out,battery-storage,electricity,storage,0.0,0.0,0.0,,-0.0,0.0,0.0,0.0,,,0.0,106.91,0.0,1.0,0.0,0.92,647.0,19.0,10.0,,3.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,,,-0.0,0.0,0.0
ac-elec-bus,out,diesel-generator,electricity,conversion,0.0,0.0,0.0,,-0.0,0.0,0.0,0.0,0.0,0.0,166.12,,0.0,1.0,,0.35,817.0,82.0,15.0,0.7,0.3,0.4,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
ac-elec-bus,out,electricity-grid,electricity,dispatchable,100.0,200.0,300.0,,300.0,100.0,300.0,600.0,0.2,,0.0,,0.0,1.0,,,,,,0.1,0.0,0.0,300.0,300.0,0.0,,,120.00000178813934,60.00000089406967,0.0,0.0,0.0
ac-elec-bus,out,inverter,electricity,conversion,-0.0,-0.0,-0.0,,-0.0,-0.0,-0.0,0.0,0.0,0.0,9.72,,0.0,1.0,,0.9,100.0,1.0,20.0,0.0,0.1,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
brine-bus,in,brine-excess,water,excess,10.0,20.0,30.0,,,10.0,30.0,60.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
brine-bus,out,sw-ro,water,ro,10.0,20.0,30.0,,,10.0,30.0,60.0,1.05,0.0,301.74,,0.0,1.0,,,2000.0,30.0,10.0,0.0,10.0,50.0,,,,,,62.99999713897705,0.0,,,3000.0
dc-elec-bus,in,inverter,electricity,conversion,-0.0,-0.0,-0.0,,,-0.0,-0.0,0.0,0.0,0.0,9.72,,0.0,1.0,,0.9,100.0,1.0,20.0,0.0,0.1,0.0,,,,,,0.0,0.0,,,0.0
dc-elec-bus,out,#pv,electricity,volatile,0.0,0.0,0.0,,-0.0,0.0,0.0,0.0,5.3475935e-12,,97.18,,0.0,1.0,,,1000.0,10.0,20.0,1.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
dc-elec-bus,out,pv-panel,electricity,conversion,-0.0,-0.0,-0.0,,-0.0,-0.0,-0.0,0.0,0.0,0.0,77.58,,0.0,1.0,,0.2,800.0,15.0,25.0,0.0,7.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
dc-elec-bus,out,wind-turbine,electricity,conversion,0.0,0.0,0.0,,-0.0,0.0,0.0,0.0,0.0,0.0,165.89,,0.0,1.0,,0.4,1865.0,20.0,25.0,0.0,3.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
diesel-bus,in,diesel-generator,water,conversion,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,166.12,,0.0,1.0,,0.35,817.0,82.0,15.0,0.7,0.3,0.4,,,,,,0.0,0.0,,,0.0
diesel-bus,out,diesel,water,dispatchable,0.0,0.0,0.0,,-0.0,0.0,0.0,0.0,0.2,,0.0,,0.0,1.0,,,,,,0.268,0.0,2.0,0.0,-0.0,-0.0,,,0.0,0.0,-0.0,0.0,0.0
drinking-water-bus,in,drinking-water-demand,water,load,10.0,20.0,30.0,,,10.0,30.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,
drinking-water-bus,in,drinking-water-storage,water,storage,0.0,0.0,0.0,,-0.0,0.0,0.0,0.0,,,0.0,18.72,0.0,1.0,0.0,0.98,186.0,2.5,20.0,,1.5,0.0,0.0,-0.0,-0.0,-0.0,-0.0,,,-0.0,0.0,0.0
drinking-water-bus,out,bottled-water,water,dispatchable,0.0,0.0,0.0,,-0.0,0.0,0.0,0.0,62.2,,0.0,,0.0,1.0,,,,,,0.0,0.0,0.0,0.0,-0.0,-0.0,,,0.0,0.0,-0.0,0.0,0.0
drinking-water-bus,out,drinking-water-storage,water,storage,0.0,0.0,0.0,,-0.0,0.0,0.0,0.0,,,0.0,18.72,0.0,1.0,0.0,0.98,186.0,2.5,20.0,,1.5,0.0,0.0,-0.0,-0.0,-0.0,-0.0,,,-0.0,0.0,0.0
drinking-water-bus,out,sw-ro,water,ro,10.0,20.0,30.0,,,10.0,30.0,60.0,1.05,0.0,301.74,,0.0,1.0,,,2000.0,30.0,10.0,0.0,10.0,50.0,,,,,,62.99999713897705,0.0,,,3000.0
drinking-water-bus,out,water pump,water,water-pump,-0.0,-0.0,-0.0,,-0.0,-0.0,-0.0,0.0,,0.0,450.92,,0.0,1.0,,,5000.0,15.0,20.0,0.0,0.5,5.0,0.0,-0.0,-0.0,-0.0,-0.0,,0.0,-0.0,0.0,0.0
drinking-water-bus,out,water-filtration-system,water,water-filtration,0.0,0.0,0.0,,-0.0,0.0,0.0,0.0,,0.0,109.48,,0.0,1.0,,,1250.0,0.5,20.0,0.2,1.2,0.2,0.0,-0.0,-0.0,-0.0,-0.0,,0.0,-0.0,0.0,0.0
groundwater-bus,in,water pump,water,water-pump,-0.0,-0.0,-0.0,,,-0.0,-0.0,0.0,,0.0,450.92,,0.0,1.0,,,5000.0,15.0,20.0,0.0,0.5,5.0,,,,,,0.0,0.0,,,0.0
groundwater-bus,out,groundwater,water,dispatchable,0.0,0.0,0.0,,-0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,1.0,,,,,,0.0,0.0,9.0,0.0,-0.0,-0.0,,,0.0,0.0,-0.0,0.0,0.0
precipitation-bus,in,rainwater-harvesting,water,conversion,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,11.72,,0.0,1.0,,0.95,100.0,3.0,20.0,0.0,1.3,0.0,,,,,,0.0,0.0,,,0.0
precipitation-bus,out,precipitation,water,dispatchable,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,0.0
seawater-bus,in,sw-ro,water,ro,-0.0,-0.0,-0.0,,-0.0,-0.0,-0.0,0.0,1.05,0.0,301.74,,0.0,1.0,,,2000.0,30.0,10.0,0.0,10.0,50.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
seawater-bus,out,seawater-source,water,dispatchable,0.0,0.0,0.0,,-0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,1.0,,,,,,0.0,0.0,0.0,0.0,-0.0,-0.0,,,0.0,0.0,-0.0,0.0,0.0
service-water-bus,in,service-water-demand,water,load,10.0,20.0,30.0,,,10.0,30.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,
service-water-bus,in,service-water-storage,water,storage,0.0,0.0,0.0,,-0.0,0.0,0.0,0.0,,,0.0,33.66,0.0,1.0,0.0,0.98,300.0,7.5,20.0,,1.7,0.0,0.0,-0.0,-0.0,-0.0,-0.0,,,-0.0,0.0,0.0
service-water-bus,in,water-filtration-system,water,water-filtration,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,109.48,,0.0,1.0,,,1250.0,0.5,20.0,0.2,1.2,0.2,,,,,,0.0,0.0,,,0.0
service-water-bus,out,condensed-water,water,dispatchable,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,,0.0,,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,0.0
