bus,direction,asset,carrier,facade_type,2022-01-01 00:00:00,2022-01-01 01:00:00,2022-01-01 02:00:00,2022-01-01 03:00:00,2022-01-01 04:00:00,2022-01-01 05:00:00,2022-01-01 06:00:00,2022-01-01 07:00:00,2022-01-01 08:00:00,2022-01-01 09:00:00,2022-01-01 10:00:00,2022-01-01 11:00:00,2022-01-01 12:00:00,2022-01-01 13:00:00,2022-01-01 14:00:00,2022-01-01 15:00:00,2022-01-01 16:00:00,2022-01-01 17:00:00,2022-01-01 18:00:00,2022-01-01 19:00:00,2022-01-01 20:00:00,2022-01-01 21:00:00,2022-01-01 22:00:00,2022-01-01 23:00:00,2022-01-02 00:00:00,investments,flow_min,flow_max,aggregated_flow,marginal_cost,carrier_cost,capacity_cost,storage_capacity_cost,capacity,expandable,storage_capacity,efficiency,capex,opex_fix,lifetime,ghg_emission_factor,land_requirement_factor,water_footprint_factor,capacity_total,capacity_added,annuity_total,upfront_investment_costs,opex_fix_costs_total,variable_costs_total,ghg_emissions,land_requirement_additional,land_requirement_total,water_footprint
ac-elec-bus,in,elec-demand,electricity,load,8.55775565,23.37111012,31.97611442,41.29776132,42.56553368,51.67988168,53.80870613,55.4066785,52.96607075,52.03523858,55.4327333,59.01189372,57.86523075,54.84108155,64.11784335,63.82366777,51.02776063,52.39857472,55.37882092,66.617919,75.43884635,71.54516047,58.43358395,24.23208373,,,8.55775565,75.43884635,1223.83005104,,,,,,,,,,,,,,,,,,,,,,,,
ac-elec-bus,in,electricity-excess,electricity,excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
ac-elec-bus,in,seawater-reverse-osmosis,electricity,ro,9.8587245,9.8587245,9.8587245,9.8587245,9.8587245,9.8587245,9.8587245,9.8587245,9.8587245,9.8587245,9.8587245,9.8587245,9.8587245,9.8587245,9.8587245,9.8587245,9.8587245,9.8587245,9.8587245,9.8587245,9.8587245,9.8587245,9.8587245,9.8587245,,,9.8587245,9.8587245,236.60938799999997,1.25,0.0,263.84,,0.0,1.0,,,559.6,198.93,12.5,0.0,0.15,1.8,,,,,,0.0,0.0,,,425.8968871175851
ac-elec-bus,in,water pump,electricity,water-pump,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,450.92,,0.0,0.0,,,5000.0,15.0,20.0,0.2,2.0,5.0,,,,,,0.0,0.0,,,0.0
ac-elec-bus,in,water-filtration-system,electricity,water-filtration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,28.72,,0.0,1.0,,,100.0,20.0,20.0,0.045,0.1,0.08,,,,,,0.0,0.0,,,0.0
ac-elec-bus,out,diesel-generator,electricity,conversion,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,,-0.0,-0.0,-0.0,0.0,0.75,0.0,166.12,,0.0,1.0,,0.35,817.0,82.0,15.0,0.7,0.3,0.4,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
ac-elec-bus,out,electricity-grid,electricity,dispatchable,18.41648,33.229835,41.834839,51.156486,52.424258,61.538606,63.667431,65.265403,62.824795,61.893963,65.291458,68.870618,67.723955,64.699806,73.976568,73.682392,60.886485,62.257299,65.237545,76.476643,85.297571,81.403885,68.292308,34.090808,,85.297571,18.41648,85.297571,1460.439437,0.204,,0.0,,0.0,1.0,,,,,,0.45,0.001,0.1595,85.297571,85.297571,0.0,,,297.92963957686567,657.1977292402053,0.08529757505141723,0.08529757505141723,232.94009437985073
ac-elec-bus,out,inverter,electricity,conversion,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,,-0.0,-0.0,-0.0,0.0,0.075,0.0,55.6,,0.0,1.0,,0.94,350.0,15.0,12.5,0.0,0.15,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
brine-bus,in,brine-excess,water,excess,1.2323406,1.2323406,1.2323406,1.2323406,1.2323406,1.2323406,1.2323406,1.2323406,1.2323406,1.2323406,1.2323406,1.2323406,1.2323406,1.2323406,1.2323406,1.2323406,1.2323406,1.2323406,1.2323406,1.2323406,1.2323406,1.2323406,1.2323406,1.2323406,,,1.2323406,1.2323406,29.5761744,0.0,,,,,,,,,,,,,,,,,,,,,,,
brine-bus,out,seawater-reverse-osmosis,water,ro,1.2323406,1.2323406,1.2323406,1.2323406,1.2323406,1.2323406,1.2323406,1.2323406,1.2323406,1.2323406,1.2323406,1.2323406,1.2323406,1.2323406,1.2323406,1.2323406,1.2323406,1.2323406,1.2323406,1.2323406,1.2323406,1.2323406,1.2323406,1.2323406,,,1.2323406,1.2323406,29.5761744,1.25,0.0,263.84,,0.0,1.0,,,559.6,198.93,12.5,0.0,0.15,1.8,,,,,,36.970218,0.0,,,53.2371125096981
