source,ac-elec-bus,ac-elec-bus,ac-elec-bus,ac-elec-bus,ac-elec-bus,battery-storage,battery-storage,bottled-water,brine-bus,condensed-water,dc-elec-bus,dc-elec-bus,diesel,diesel-bus,diesel-generator,drinking-water-bus,drinking-water-bus,drinking-water-bus,drinking-water-storage,drinking-water-storage,electricity-grid,groundwater,groundwater-bus,inverter,photovoltaics,precipitation,rainwater-harvesting,seawater-bus,seawater-reverse-osmosis,seawater-reverse-osmosis,seawater-source,service-water-bus,service-water-bus,service-water-bus,service-water-bus,service-water-storage,service-water-storage,solar-resource,water pump,water-filtration-system,water-truck,wind-resource,wind-turbine
target,elec-demand,electricity-excess,seawater-reverse-osmosis,water pump,water-filtration-system,nan,dc-elec-bus,drinking-water-bus,brine-excess,service-water-bus,battery-storage,inverter,diesel-bus,diesel-generator,ac-elec-bus,drinking-water-demand,drinking-water-storage,excess-drinking-water,nan,drinking-water-bus,ac-elec-bus,groundwater-bus,water pump,ac-elec-bus,dc-elec-bus,precipitation-bus,service-water-bus,seawater-reverse-osmosis,brine-bus,drinking-water-bus,seawater-bus,excess-service-water,service-water-demand,service-water-storage,water-filtration-system,nan,service-water-bus,solar-bus,service-water-bus,drinking-water-bus,service-water-bus,wind-bus,dc-elec-bus
var_name,flow,flow,flow,flow,flow,storage_content,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,storage_content,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,storage_content,flow,flow,flow,flow,flow,flow,flow
2022-01-01 00:00:00,8.55775565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0033,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,8.5577557,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0033,0.0,3.7880965,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 01:00:00,23.37111012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0033,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,23.37111,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0033,0.0,3.7913305,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 02:00:00,31.97611442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0033,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,31.976114,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0033,0.0,3.7945645,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 03:00:00,41.29776132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0033,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,41.297761,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0033,0.0,3.7977985,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 04:00:00,42.56553368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0033,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,42.565534,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0033,0.0,3.8010325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 05:00:00,51.67988168,0.0,0.0,1.3730799,3.762517,0.0,0.0,0.0,-0.0,0.0033,0.0,0.0,0.0,0.0,-0.0,3.762517,0.0,0.0,0.0,0.0,56.815479,3.359217,3.359217,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,3.762517,3.3928692,0.4,0.0,3.359217,3.762517,0.0,0.0,0.0
2022-01-01 06:00:00,53.80870613,0.0,0.0,1.3662642,3.7458423,0.0,0.0,0.0,-0.0,0.0033,0.0,0.0,0.0,0.0,-0.0,3.745842333,0.0,0.0,0.0,0.0,58.920813,3.3425423,3.3425423,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,3.7458423,2.984706,0.4,0.0,3.3425423,3.7458423,0.0,0.0,0.0
2022-01-01 07:00:00,55.4066785,0.0,0.0,4.3265438,4.4791737,0.0,0.0,0.0,-0.0,0.0033,0.0,0.0,0.0,0.0,-0.0,4.479173667,0.0,0.0,0.0,0.0,64.212396,10.584817,10.584817,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,6.508943,0.0,4.4791737,2.5765427,0.4,0.0,10.584817,4.4791737,0.0,0.0,0.0
2022-01-01 08:00:00,52.96607075,0.0,0.0,5.5867435,4.912495,0.0,0.0,0.0,-0.0,0.0033,0.0,0.0,0.0,0.0,-0.0,4.912495,0.0,0.0,0.0,0.0,63.465309,13.667874,13.667874,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,9.158679,0.0,4.912495,2.1683794,0.4,0.0,13.667874,4.912495,0.0,0.0,0.0
2022-01-01 09:00:00,52.03523858,0.0,0.0,3.952644,0.0,0.0,0.0,0.0,-0.0,0.0033,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,55.987883,9.670077,9.670077,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,10.073377,0.0,0.0,1.7602162,0.4,0.0,9.670077,0.0,0.0,0.0,0.0
2022-01-01 10:00:00,55.4327333,0.0,0.0,1.6081553,4.337625,0.0,0.0,0.0,-0.0,0.0033,0.0,0.0,0.0,0.0,-0.0,4.337625,0.0,0.0,0.0,0.0,61.378514,3.934325,3.934325,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,4.337625,1.3520529,0.4,0.0,3.934325,4.337625,0.0,0.0,0.0
2022-01-01 11:00:00,59.01189372,0.0,0.0,1.1789768,3.287647,0.0,0.0,0.0,-0.0,0.0033,0.0,3.8377604,0.0,0.0,-0.0,3.287647,0.0,0.0,0.0,0.0,59.871023,2.884347,2.884347,3.6074948,3.8377604,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,3.287647,0.94388963,0.4,0.0,2.884347,3.287647,0.0,0.0,0.0
2022-01-01 12:00:00,57.86523075,0.0,0.0,1.5161388,4.112508,0.0,0.0,0.0,-0.0,0.0033,0.0,28.001437,0.0,0.0,-0.0,4.112508,0.0,0.0,0.0,0.0,37.172526,3.709208,3.709208,26.321351,28.001437,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,4.112508,0.53572637,0.4,0.0,3.709208,4.112508,0.0,0.0,0.0
2022-01-01 13:00:00,54.84108155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0033,0.0,56.713571,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.5303249,0.0,-0.0,53.310757,56.713571,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0033,0.0,0.53896037,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 14:00:00,64.11784335,7.1704922,0.0,3.533779,0.0,0.0,0.0,0.0,-0.0,0.0033,0.0,79.597994,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.645331,8.645331,74.822115,79.597994,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,8.248631,0.4,0.0,0.93096037,0.0,0.0,8.645331,0.0,0.0,0.0,0.0
