bus,direction,asset,carrier,facade_type,2021-01-01 00:00:00,2021-01-01 01:00:00,2021-01-01 02:00:00,2021-01-01 03:00:00,investments,flow_min,flow_max,aggregated_flow,marginal_cost,carrier_cost,capacity_cost,storage_capacity_cost,capacity,expandable,storage_capacity,efficiency,capex,opex_fix,lifetime,ghg_emission_factor,land_requirement_factor,water_footprint_factor,capacity_total,capacity_added,annuity_total,upfront_investment_costs,opex_fix_costs_total,variable_costs_total,ghg_emissions,land_requirement_additional,land_requirement_total,water_footprint
ac-elec-bus,in,battery-storage,electricity,storage,0.0,0.0,0.0,,-0.0,0.0,0.0,0.0,1.71123e-11,,0.0,8.645976e-14,0.0,1.0,0.0,0.92,350.0,8.0,15.0,3.2,3.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,,0.0,-0.0,0.0,0.0
ac-elec-bus,in,electricity-demand,electricity,load,20.0,40.0,60.0,,,20.0,60.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,
ac-elec-bus,in,electricity-excess,electricity,excess,159.7275,139.673,119.5095,,,119.5095,159.7275,418.90999999999997,0.0,,,,,,,,,,,,,,,,,,,,,,,
ac-elec-bus,in,microfiltration,electricity,water-filtration,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,10.0,,0.0,1.0,,,,,10.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,0.0
ac-elec-bus,in,water pump,electricity,water-pump,0.2725,0.327,0.4905,,,0.2725,0.4905,1.09,0.0,0.0,7.61653e-14,,0.0,1.0,,,300.0,15.0,20.0,0.0,0.5,0.0,,,,,,0.0,0.0,,,0.0
ac-elec-bus,in,water-filtration,electricity,filtration,0.0,0.0,0.0,,,0.0,0.0,0.0,2.7777777e-10,0.0,1.6244256e-13,,0.0,1.0,,,500.0,10.0,10.0,0.0,10.0,50.0,,,,,,0.0,0.0,,,0.0
ac-elec-bus,out,battery-storage,electricity,storage,0.0,0.0,0.0,,-0.0,0.0,0.0,0.0,1.71123e-11,,0.0,8.645976e-14,0.0,1.0,0.0,0.92,350.0,8.0,15.0,3.2,3.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
ac-elec-bus,out,diesel-generator,electricity,conversion,180.0,180.0,180.0,,0.0,180.0,180.0,540.0,3.5056447e-11,,1.5743945e-13,,180.0,1.0,,0.35,750.0,15.0,17.5,2.4,0.3,4.0,180.0,0.0,0.0,0.0,0.0,1.8930481557322132e-08,1296.000051498413,0.0,54.00000214576721,2160.0
ac-elec-bus,out,inverter,electricity,conversion,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,1.7950148e-14,,10.0,1.0,,0.9,100.0,1.0,20.0,0.0,0.1,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000149011612,0.0
ac-elec-bus,out,wind-turbine,electricity,conversion,0.0,0.0,0.0,,-0.0,0.0,0.0,0.0,0.0,,3.463544e-13,,0.0,1.0,,0.4,2000.0,12.0,20.0,0.0,3.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
