name,var_name,var_value,region,type,carrier,tech
battery-storage,flow_in_elec,0.0,,storage,energy,battery
battery-storage,flow_out_elec,0.0,,storage,energy,battery
battery-storage,invest,-0.0,,storage,energy,battery
battery-storage,invest_costs,-0.0,,storage,energy,battery
battery-storage,invest_costs_in_elec,-0.0,,storage,energy,battery
battery-storage,invest_costs_out_elec,-0.0,,storage,energy,battery
battery-storage,invest_in_elec,-0.0,,storage,energy,battery
battery-storage,invest_out_elec,-0.0,,storage,energy,battery
battery-storage,storage_losses,0.0,,storage,energy,battery
battery-storage,summed_variable_costs_out_elec,0.0,,storage,energy,battery
banana,flow_in_bus,0.0,,crop,energy,crop
banana,flow_out_bus,0.0,,crop,energy,crop
diesel-generator,flow_in_bus,1542.8571299999999,,conversion,energy,diesel-generator
diesel-generator,flow_out_elec,540.0,,conversion,energy,diesel-generator
diesel-generator,invest_costs_out_elec,0.0,,conversion,energy,diesel-generator
diesel-generator,invest_out_elec,0.0,,conversion,energy,diesel-generator
diesel-generator,summed_variable_costs_out_elec,1.8930481283422458e-08,,conversion,energy,diesel-generator
wind-turbine,flow_in_bus,0.0,,conversion,energy,energy-conversion
wind-turbine,flow_out_elec,0.0,,conversion,energy,energy-conversion
wind-turbine,invest_costs_out_elec,-0.0,,conversion,energy,energy-conversion
wind-turbine,invest_out_elec,-0.0,,conversion,energy,energy-conversion
inverter,flow_in_elec,0.0,,conversion,energy,inverter
inverter,flow_out_elec,0.0,,conversion,energy,inverter
inverter,invest_costs_out_elec,0.0,,conversion,energy,inverter
inverter,invest_out_elec,0.0,,conversion,energy,inverter
pv-panel,flow_in_bus,0.0,,conversion,energy,pv_panel
pv-panel,flow_out_elec,0.0,,conversion,energy,pv_panel
pv-panel,invest_costs_out_elec,0.0,,conversion,energy,pv_panel
pv-panel,invest_out_elec,0.0,,conversion,energy,pv_panel
diesel,flow_out_bus,1542.8571299999999,,dispatchable,energy,source
solar-resource-crop,flow_out_bus,0.0,,dispatchable,energy,source
solar-resource-pv,flow_out_bus,0.0,,dispatchable,energy,source
wind-resource,flow_out_bus,0.0,,dispatchable,energy,source
river-flow,flow_out_flow,0.0,,dispatchable,energy,source
diesel,invest_costs_out_bus,0.0,,dispatchable,energy,source
solar-resource-crop,invest_costs_out_bus,-0.0,,dispatchable,energy,source
solar-resource-pv,invest_costs_out_bus,-0.0,,dispatchable,energy,source
wind-resource,invest_costs_out_bus,-0.0,,dispatchable,energy,source
river-flow,invest_costs_out_flow,-0.0,,dispatchable,energy,source
diesel,invest_out_bus,514.28571,,dispatchable,energy,source
solar-resource-crop,invest_out_bus,-0.0,,dispatchable,energy,source
solar-resource-pv,invest_out_bus,-0.0,,dispatchable,energy,source
wind-resource,invest_out_bus,-0.0,,dispatchable,energy,source
river-flow,invest_out_flow,-0.0,,dispatchable,energy,source
diesel,summed_variable_costs_out_bus,1.7142856999999997e-08,,dispatchable,energy,source
river-flow,summed_variable_costs_out_flow,0.0,,dispatchable,energy,source
microfiltration,flow_in_elec,0.0,,water-filtration,water,filtration
water-filtration,flow_in_elec,0.0,,,water,filtration
microfiltration,flow_in_water,0.0,,water-filtration,water,filtration
water-filtration,flow_in_water,0.0,,,water,filtration
water-filtration,flow_out_bus,0.0,,,water,filtration
microfiltration,flow_out_water,0.0,,water-filtration,water,filtration
water-filtration,flow_out_water,0.0,,,water,filtration
water-filtration,invest_costs_in_water,-0.0,,,water,filtration
microfiltration,invest_costs_out_water,-0.0,,water-filtration,water,filtration
water-filtration,invest_in_water,-0.0,,,water,filtration
microfiltration,invest_out_water,-0.0,,water-filtration,water,filtration
water pump,flow_in_bus,200.0,,water-pump,water,pumping
water pump,flow_in_elec,1.09,,water-pump,water,pumping
water pump,flow_out_water,200.0,,water-pump,water,pumping
water pump,invest_costs_out_water,6.8548764821607345e-12,,water-pump,water,pumping
water pump,invest_out_water,90.0,,water-pump,water,pumping
rainwater-harvesting,flow_in_bus,0.0,,conversion,water,rainwater-harvesting
rainwater-harvesting,flow_out_water,0.0,,conversion,water,rainwater-harvesting
rainwater-harvesting,invest_costs_out_water,-0.0,,conversion,water,rainwater-harvesting
rainwater-harvesting,invest_out_water,-0.0,,conversion,water,rainwater-harvesting
rainwater-harvesting,summed_variable_costs_out_water,0.0,,conversion,water,rainwater-harvesting
river-water-uptake,flow_in_water,0.0,,conversion,water,river-water-uptake
river-water-uptake,flow_out_water,0.0,,conversion,water,river-water-uptake
river-water-uptake,invest_costs_out_water,-0.0,,conversion,water,river-water-uptake
river-water-uptake,invest_out_water,-0.0,,conversion,water,river-water-uptake
river-water-uptake,summed_variable_costs_out_water,0.0,,conversion,water,river-water-uptake
groundwater,flow_out_bus,200.0,,dispatchable,water,source
precipitation,flow_out_bus,0.0,,dispatchable,water,source
bottled-water,flow_out_water,60.0,,dispatchable,water,source
river-water,flow_out_water,0.0,,dispatchable,water,source
groundwater,invest_costs_out_bus,0.0,,dispatchable,water,source
precipitation,invest_costs_out_bus,-0.0,,dispatchable,water,source
bottled-water,invest_costs_out_water,0.0,,dispatchable,water,source
river-water,invest_costs_out_water,-0.0,,dispatchable,water,source
groundwater,invest_out_bus,90.0,,dispatchable,water,source
precipitation,invest_out_bus,-0.0,,dispatchable,water,source
bottled-water,invest_out_water,30.0,,dispatchable,water,source
river-water,invest_out_water,-0.0,,dispatchable,water,source
groundwater,summed_variable_costs_out_bus,1.111111111111111e-08,,dispatchable,water,source
river-water,summed_variable_costs_out_water,0.0,,dispatchable,water,source
drinking-water-storage,flow_in_water,0.0,,storage,water,storage
service-water-storage,flow_in_water,0.0,,storage,water,storage
drinking-water-storage,flow_out_water,0.0,,storage,water,storage
service-water-storage,flow_out_water,0.0,,storage,water,storage
drinking-water-storage,invest,-0.0,,storage,water,storage
service-water-storage,invest,-0.0,,storage,water,storage
drinking-water-storage,invest_costs,-0.0,,storage,water,storage
service-water-storage,invest_costs,-0.0,,storage,water,storage
drinking-water-storage,invest_costs_in_water,-0.0,,storage,water,storage
service-water-storage,invest_costs_in_water,-0.0,,storage,water,storage
drinking-water-storage,invest_costs_out_water,-0.0,,storage,water,storage
service-water-storage,invest_costs_out_water,-0.0,,storage,water,storage
drinking-water-storage,invest_in_water,-0.0,,storage,water,storage
service-water-storage,invest_in_water,-0.0,,storage,water,storage
