bus,direction,asset,carrier,facade_type,Upfront Investment Costs,Annuity Total
ac-discharge-bus,in,nanofiltration,water,conversion,,
ac-discharge-bus,out,ac-discharge,water,dispatchable,,
ac-elec-bus,in,battery-storage,energy,storage,-0.0,-0.0
ac-elec-bus,in,elec-demand,energy,load,,
ac-elec-bus,in,electricity-excess,energy,excess,,
ac-elec-bus,in,sw-ro,energy,ro,,
ac-elec-bus,out,backup-electricity-grid,energy,dispatchable,,0.0
ac-elec-bus,out,battery-storage,energy,storage,-0.0,-0.0
ac-elec-bus,out,diesel-generator,energy,conversion,0.0,0.0
ac-elec-bus,out,inverter,energy,conversion,-0.0,-0.0
ac-elec-bus,out,wind-turbine,energy,conversion,-0.0,-0.0
brine-bus,in,brine-excess,water,excess,,
brine-bus,out,sw-ro,water,ro,,
dc-elec-bus,in,inverter,energy,conversion,,
dc-elec-bus,out,#pv,energy,volatile,-0.0,-0.0
dc-elec-bus,out,pv-panel,energy,conversion,-0.0,-0.0
diesel-bus,in,diesel-generator,energy,conversion,,
diesel-bus,out,diesel,energy,dispatchable,,0.0
permeate-bus,in,permeate-demand,water,load,,
permeate-bus,in,water-storage,water,storage,2142.63854,5.760352522920515e-13
permeate-bus,out,nanofiltration,water,conversion,-0.0,-0.0
permeate-bus,out,sw-ro,water,ro,,
permeate-bus,out,water-storage,water,storage,2142.63854,5.760352522920515e-13
seawater-bus,in,sw-ro,water,ro,-0.0,-0.0
seawater-bus,out,seawater-source,water,dispatchable,,-0.0
solar-bus,in,pv-panel,energy,conversion,,
solar-bus,out,solar-resource,energy,dispatchable,,-0.0
wind-bus,in,wind-turbine,energy,conversion,,
wind-bus,out,wind-resource,energy,dispatchable,,-0.0
