bus,direction,asset,carrier,facade_type,Upfront Investment Costs,Annuity Total
ac-elec-bus,in,elec-demand,electricity,load,,
ac-elec-bus,in,electricity-excess,electricity,excess,,
ac-elec-bus,in,seawater-reverse-osmosis,electricity,ro,,
ac-elec-bus,in,water pump,electricity,water-pump,,
ac-elec-bus,in,water-filtration-system,electricity,water-filtration,,
ac-elec-bus,out,diesel-generator,electricity,conversion,0.0,0.0
ac-elec-bus,out,inverter,electricity,conversion,54810.248499999994,31661.81714528625
ac-elec-bus,out,run-of-river-hydropower,electricity,hydropower,66201.793746,42934.50158212939
brine-bus,in,brine-excess,water,excess,,
brine-bus,out,seawater-reverse-osmosis,water,ro,,
dc-elec-bus,in,battery-storage,electricity,storage,274236.22305000003,144944.06863194582
dc-elec-bus,in,inverter,electricity,conversion,,
dc-elec-bus,out,battery-storage,electricity,storage,274236.22305000003,144944.06863194582
dc-elec-bus,out,photovoltaics,electricity,volatile,199334.125,85691.92632883071
dc-elec-bus,out,wind-turbine,electricity,volatile,0.0,0.0
diesel-bus,in,diesel-generator,energy,conversion,,
diesel-bus,out,diesel,energy,dispatchable,,0.0
drinking-water-bus,in,drinking-water-demand,water,load,,
drinking-water-bus,in,drinking-water-storage,water,storage,1754.86572,715.9852226857087
drinking-water-bus,in,excess-drinking-water,water,excess,,
drinking-water-bus,out,bottled-water,water,dispatchable,,
drinking-water-bus,out,drinking-water-storage,water,storage,1754.86572,715.9852226857087
drinking-water-bus,out,seawater-reverse-osmosis,water,ro,,
drinking-water-bus,out,water-filtration-system,water,water-filtration,430.89376000000004,450.0097722868408
groundwater-bus,in,water pump,water,water-pump,,
groundwater-bus,out,groundwater,water,dispatchable,,0.0
precipitation-bus,out,precipitation,water,dispatchable,,0.0
river-flow-bus,in,excess-river-flow,water,excess,,
river-flow-bus,in,run-of-river-hydropower,water,hydropower,,
river-flow-bus,out,river-flow,water,dispatchable,,
seawater-bus,in,seawater-reverse-osmosis,water,ro,0.0,0.0
seawater-bus,out,seawater-source,water,dispatchable,,0.0
service-water-bus,in,excess-service-water,water,excess,,
service-water-bus,in,service-water-demand,water,load,,
service-water-bus,in,service-water-storage,water,storage,468.4466172,171.44322886547698
service-water-bus,in,water-filtration-system,water,water-filtration,,
service-water-bus,out,rainwater-harvesting,water,volatile,0.0,0.0
service-water-bus,out,river-water-uptake,water,volatile,,
service-water-bus,out,service-water-storage,water,storage,468.4466172,171.44322886547698
service-water-bus,out,water pump,water,water-pump,1230.91288,558.0511529834473
solar-bus,out,solar-resource,energy,dispatchable,,0.0
wind-bus,out,wind-resource,energy,dispatchable,,0.0
