name,var_name,var_value,region,type,carrier,tech
battery-storage,flow_in_elec,7010.211597957999,,storage,energy,battery
battery-storage,flow_out_elec,5933.443035727987,,storage,energy,battery
battery-storage,invest,14.836796,,storage,energy,battery
battery-storage,invest_costs,12684.111780363633,,storage,energy,battery
battery-storage,invest_costs_in_elec,0.0,,storage,energy,battery
battery-storage,invest_costs_out_elec,0.0,,storage,energy,battery
battery-storage,invest_in_elec,14.836796,,storage,energy,battery
battery-storage,invest_out_elec,14.836796,,storage,energy,battery
battery-storage,storage_losses,1076.7685622300123,,storage,energy,battery
diesel-generator,flow_in_bus,506036.61768963,,conversion,energy,diesel-generator
diesel-generator,flow_out_elec,177112.816118408,,conversion,energy,diesel-generator
diesel-generator,invest_costs_out_elec,0.0,,conversion,energy,diesel-generator
diesel-generator,invest_out_elec,0.0,,conversion,energy,diesel-generator
inverter,flow_in_elec,185841.53960992998,,conversion,energy,inverter
inverter,flow_out_elec,174691.047874577,,conversion,energy,inverter
inverter,invest_costs_out_elec,53855.66625454545,,conversion,energy,inverter
inverter,invest_out_elec,106.54898,,conversion,energy,inverter
photovoltaics,flow_out_elec,186918.30836998002,,volatile,energy,pv
photovoltaics,invest_costs_out_elec,90767.67166727272,,volatile,energy,pv
photovoltaics,invest_out_elec,168.91294,,volatile,energy,pv
diesel,flow_out_bus,506036.61768963,,dispatchable,energy,source
solar-resource,flow_out_bus,0.0,,dispatchable,energy,source
wind-resource,flow_out_bus,0.0,,dispatchable,energy,source
diesel,invest_costs_out_bus,0.0,,dispatchable,energy,source
solar-resource,invest_costs_out_bus,-0.0,,dispatchable,energy,source
wind-resource,invest_costs_out_bus,-0.0,,dispatchable,energy,source
diesel,invest_out_bus,166.48527,,dispatchable,energy,source
solar-resource,invest_out_bus,-0.0,,dispatchable,energy,source
wind-resource,invest_out_bus,-0.0,,dispatchable,energy,source
wind-turbine,flow_out_elec,0.0,,volatile,energy,wind-turbine
wind-turbine,invest_costs_out_elec,-0.0,,volatile,energy,wind-turbine
wind-turbine,invest_out_elec,-0.0,,volatile,energy,wind-turbine
water-filtration-system,flow_in_elec,10792.461276428901,,water-filtration,water,filtration
water-filtration-system,flow_in_water,10792.461276428901,,water-filtration,water,filtration
water-filtration-system,flow_out_water,10792.461276428901,,water-filtration,water,filtration
water-filtration-system,invest_costs_out_water,1530.554699345454,,water-filtration,water,filtration
water-filtration-system,invest_out_water,5.8621524,,water-filtration,water,filtration
run-of-river-hydropower,flow_in_flow,4554.738384704104,,hydropower,water,hydropower
run-of-river-hydropower,flow_out_elec,80427.5711123393,,hydropower,water,hydropower
run-of-river-hydropower,invest_costs_out_elec,81880.19170854543,,hydropower,water,hydropower
run-of-river-hydropower,invest_out_elec,15.275637,,hydropower,water,hydropower
water pump,flow_in_bus,26525.879161103203,,water-pump,water,pumping
water pump,flow_in_elec,144.56604071581802,,water-pump,water,pumping
water pump,flow_out_water,26525.879161103203,,water-pump,water,pumping
water pump,invest_costs_out_water,5895.722072727272,,water-pump,water,pumping
water pump,invest_out_water,13.0044,,water-pump,water,pumping
rainwater-harvesting,flow_out_water,0.0,,volatile,water,rainwater-harvesting
rainwater-harvesting,invest_costs_out_water,-0.0,,volatile,water,rainwater-harvesting
rainwater-harvesting,invest_out_water,-0.0,,volatile,water,rainwater-harvesting
river-flow,flow_out_flow,4554.738384704104,,dispatchable,water,river
seawater-reverse-osmosis,flow_in_bus,0.0,,,water,ro
seawater-reverse-osmosis,flow_in_elec,0.0,,,water,ro
seawater-reverse-osmosis,flow_out_bus,0.0,,,water,ro
seawater-reverse-osmosis,flow_out_water,2.992107211e-14,,,water,ro
seawater-reverse-osmosis,invest_costs_in_bus,-0.0,,,water,ro
seawater-reverse-osmosis,invest_in_bus,-0.0,,,water,ro
groundwater,flow_out_bus,26525.879161103203,,dispatchable,water,source
precipitation,flow_out_bus,0.0,,dispatchable,water,source
seawater-source,flow_out_bus,0.0,,dispatchable,water,source
bottled-water,flow_out_water,0.0,,dispatchable,water,source
groundwater,invest_costs_out_bus,0.0,,dispatchable,water,source
precipitation,invest_costs_out_bus,-0.0,,dispatchable,water,source
seawater-source,invest_costs_out_bus,-0.0,,dispatchable,water,source
groundwater,invest_out_bus,13.0044,,dispatchable,water,source
precipitation,invest_out_bus,-0.0,,dispatchable,water,source
