name,var_name,var_value,region,type,carrier,tech
apv-system,flow_in_bus,40341.616211968,,,mimo,mimo
apv-system,flow_in_bus,305246.51001790795,,,mimo,mimo
apv-system,flow_in_energy,683415.061028824,,,mimo,mimo
apv-system,flow_out_bus,261741.000434982,,,mimo,mimo
apv-system,flow_out_bus,99906.69681839601,,,mimo,mimo
apv-system,flow_out_bus,0.0002803200000000001,,,mimo,mimo
sun,flow_out_energy,683415.061104224,,volatile,solar,sun
back-up-water,flow_out_bus,305246.51001790795,,dispatchable,water,source
rain,flow_out_bus,40341.616211968,,dispatchable,water,source
back-up-water,invest_costs_out_bus,0.0,,dispatchable,water,source
rain,invest_costs_out_bus,0.0,,dispatchable,water,source
back-up-water,invest_out_bus,190.22449,,dispatchable,water,source
rain,invest_out_bus,959.3216,,dispatchable,water,source
biomass-excess,flow_in_bus,261741.000434982,,excess,,
electricity-excess,flow_in_bus,99906.69681839601,,excess,,
water-excess,flow_in_bus,0.0002803200000000001,,excess,,
system,total_system_cost,0.0,,,,
