name,var_name,var_value,region,type,carrier,tech
back-up-elec,flow_out_bus,0.0,,dispatchable,electricity,source
back-up-elec,invest_costs_out_bus,0.0,,dispatchable,electricity,source
back-up-elec,invest_out_bus,0.0,,dispatchable,electricity,source
back-up-elec,summed_variable_costs_out_bus,0.0,,dispatchable,electricity,source
apv-system,flow_in_bus,16800.0,,,solar,mimo
apv-system,flow_in_bus,8400.0,,,solar,mimo
apv-system,flow_in_energy,84000.0,,,solar,mimo
apv-system,flow_out_bus,33600.0,,,solar,mimo
apv-system,flow_out_bus,25200.0,,,solar,mimo
apv-system,flow_out_bus,42000.0,,,solar,mimo
sun,flow_out_energy,84000.0,,volatile,solar,source
back-up-water,flow_out_bus,8400.0,,dispatchable,water,source
rain,flow_out_bus,16800.0,,dispatchable,water,source
back-up-water,invest_costs_out_bus,0.0,,dispatchable,water,source
rain,invest_costs_out_bus,0.0,,dispatchable,water,source
back-up-water,invest_out_bus,50.0,,dispatchable,water,source
rain,invest_out_bus,100.0,,dispatchable,water,source
biomass-excess,flow_in_bus,33600.0,,excess,,
demand,flow_in_bus,3562.39311508,,load,,
electricity-excess,flow_in_bus,21637.6069,,excess,,
water-excess,flow_in_bus,42000.0,,excess,,
system,total_system_cost,0.0,,,,
