source,apv-system,apv-system,apv-system,back-up-elec,back-up-water,biomass-bus,electricity-bus,electricity-bus,rain,rain-bus,solar-energy-bus,sun,water-bus-in,water-bus-out
target,biomass-bus,electricity-bus,water-bus-out,electricity-bus,water-bus-in,biomass-excess,demand,electricity-excess,rain-bus,apv-system,apv-system,solar-energy-bus,apv-system,water-excess
var_name,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow
2022-01-01 00:00:00,3.2e-08,3.2e-08,3.2e-08,3.2414873,3.2e-08,3.2e-08,3.241487314,0.0,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08
2022-01-01 01:00:00,3.2e-08,3.2e-08,3.2e-08,3.537207,170.94119,3.2e-08,3.53720707,0.0,3.2e-08,3.2e-08,3.2e-08,3.2e-08,170.94119,3.2e-08
2022-01-01 02:00:00,3.2e-08,3.2e-08,3.2e-08,4.1357855,170.65298,3.2e-08,4.135785579,0.0,3.2e-08,3.2e-08,3.2e-08,3.2e-08,170.65298,3.2e-08
2022-01-01 03:00:00,3.2e-08,3.2e-08,3.2e-08,4.9753375,169.47915,3.2e-08,4.975337536,0.0,3.2e-08,3.2e-08,3.2e-08,3.2e-08,169.47915,3.2e-08
2022-01-01 04:00:00,3.2e-08,3.2e-08,3.2e-08,6.9966996,168.09166,3.2e-08,6.99669962,0.0,3.2e-08,3.2e-08,3.2e-08,3.2e-08,168.09166,3.2e-08
2022-01-01 05:00:00,3.2e-08,3.2e-08,3.2e-08,9.4777378,166.69401,3.2e-08,9.477737876,0.0,3.2e-08,3.2e-08,3.2e-08,3.2e-08,166.69401,3.2e-08
2022-01-01 06:00:00,3.2e-08,3.2e-08,3.2e-08,23.774378,166.37551,3.2e-08,23.77437834,0.0,3.2e-08,3.2e-08,3.2e-08,3.2e-08,166.37551,3.2e-08
2022-01-01 07:00:00,3.2e-08,3.2e-08,3.2e-08,37.693886,166.10945,3.2e-08,37.69388591,0.0,3.2e-08,3.2e-08,3.2e-08,3.2e-08,166.10945,3.2e-08
2022-01-01 08:00:00,5.05296,445.4895,3.2e-05,0.0,166815.84,5.05296,40.69190565,404.7976,3.2e-05,3.2e-05,2271.8016,2271.8016,166815.84,3.2e-05
2022-01-01 09:00:00,137.79728,8074.6023,3.2e-05,0.0,177150.6,137.79728,37.76054617,8036.8418,3.2e-05,3.2e-05,42182.656,42182.655999999995,177150.6,3.2e-05
2022-01-01 10:00:00,464.6279,18848.787,3.2e-05,0.0,194944.47,464.6279,27.19031324,18821.597,3.2e-05,3.2e-05,101917.4,101917.4016,194944.47,3.2e-05
2022-01-01 11:00:00,867.12182,27525.942,3.2e-05,0.0,215138.57,867.12182,27.75566108,27498.187,3.2e-05,3.2e-05,153404.84,153404.8448,215138.57,3.2e-05
2022-01-01 12:00:00,1179.8423,33102.584,3.2e-05,0.0,227162.79,1179.8423,20.30511148,33082.278,3.2e-05,3.2e-05,188104.22,188104.224,227162.79,3.2e-05
2022-01-01 13:00:00,1333.6051,35479.074,3.2e-05,0.0,229023.36,1333.6051,14.85822862,35464.216,3.2e-05,3.2e-05,203328.85,203328.848,229023.36,3.2e-05
2022-01-01 14:00:00,1323.0311,34341.515,3.2e-05,0.0,225992.86,1323.0311,22.53646834,34318.978,3.2e-05,3.2e-05,196538.73,196538.72960000002,225992.86,3.2e-05
2022-01-01 15:00:00,1116.704,29861.295,3.2e-05,0.0,216487.26,1116.704,24.96612689,29836.329,3.2e-05,3.2e-05,168771.14,168771.136,216487.26,3.2e-05
2022-01-01 16:00:00,766.65923,22226.522,3.2e-05,0.0,203058.74,766.65923,27.39967875,22199.122,3.2e-05,3.2e-05,122905.01,122905.01120000001,203058.74,3.2e-05
2022-01-01 17:00:00,378.62384,12017.711,3.2e-05,0.0,188377.95,378.62384,22.95316302,11994.758,3.2e-05,3.2e-05,64748.886,64748.8864,188377.95,3.2e-05
2022-01-01 18:00:00,57.91072,2166.6483,3.2e-05,0.0,168310.63,57.91072,32.5450827,2134.1032,3.2e-05,3.2e-05,11364.067,11364.0672,168310.63,3.2e-05
2022-01-01 19:00:00,3.2e-08,3.2e-08,3.2e-08,34.174388,161.24826,3.2e-08,34.17438781,0.0,3.2e-08,3.2e-08,3.2e-08,3.2e-08,161.24826,3.2e-08
2022-01-01 20:00:00,3.2e-08,3.2e-08,3.2e-08,30.175443,157.97975,3.2e-08,30.17544284,0.0,3.2e-08,3.2e-08,3.2e-08,3.2e-08,157.97975,3.2e-08
2022-01-01 21:00:00,3.2e-08,3.2e-08,3.2e-08,18.148939,160.14203,3.2e-08,18.14893945,0.0,3.2e-08,3.2e-08,3.2e-08,3.2e-08,160.14203,3.2e-08
2022-01-01 22:00:00,3.2e-08,3.2e-08,3.2e-08,8.2256181,157.8662,3.2e-08,8.225618172,0.0,3.2e-08,3.2e-08,3.2e-08,3.2e-08,157.8662,3.2e-08
