bus,direction,asset,carrier,facade_type,Capacity,Expandable,Investments
biomass-bus,in,biomass-excess,biomass,excess,,,
biomass-bus,out,apv-system,biomass,,320.0,0.0,
electricity-bus,in,demand,electricity,load,,,
electricity-bus,in,electricity-excess,electricity,excess,,,
electricity-bus,out,apv-system,electricity,,320.0,0.0,
electricity-bus,out,back-up-elec,electricity,dispatchable,0.0,1.0,44.602165
rain-bus,in,apv-system,water,,320.0,0.0,
rain-bus,out,rain,water,dispatchable,0.0,1.0,3.2e-05
solar-energy-bus,in,apv-system,solar,,320.0,0.0,
solar-energy-bus,out,sun,solar,volatile,320.0,0.0,
water-bus-in,in,apv-system,water,,320.0,0.0,
water-bus-in,out,back-up-water,water,dispatchable,0.0,1.0,237047.96
water-bus-out,in,water-excess,water,excess,,,
water-bus-out,out,apv-system,water,,320.0,0.0,
