name,var_name,var_value,region,type,carrier,tech
apv-system,flow_in_bus,1.6800000000000002e-05,,,solar,mimo
apv-system,flow_in_bus,15237.860000100001,,,solar,mimo
apv-system,flow_in_energy,27444883.130009096,,,solar,mimo
apv-system,flow_out_bus,1.6800000000000002e-05,,,solar,mimo
apv-system,flow_out_bus,1671.1300090999996,,,solar,mimo
apv-system,flow_out_bus,1.6800000000000002e-05,,,solar,mimo
sun,flow_out_energy,27444883.130009096,,volatile,solar,source
back-up-water,flow_out_bus,15237.860000100001,,dispatchable,water,source
rain,flow_out_bus,1.6800000000000002e-05,,dispatchable,water,source
back-up-water,invest_costs_out_bus,0.0,,dispatchable,water,source
rain,invest_costs_out_bus,0.0,,dispatchable,water,source
back-up-water,invest_out_bus,207.99,,dispatchable,water,source
rain,invest_out_bus,1e-07,,dispatchable,water,source
biomass-excess,flow_in_bus,1.6800000000000002e-05,,excess,,
electricity-excess,flow_in_bus,1671.1300090999996,,excess,,
water-excess,flow_in_bus,1.6800000000000002e-05,,excess,,
system,total_system_cost,0.0,,,,
