From,To,Aggregated Flow
apv-system,biomass-bus,14.304810953209799
apv-system,electricity-bus,124146.12203166846
apv-system,water-bus-out,23.1561656105723
back-up-elec,electricity-bus,94156.430524033
back-up-water,water-bus-in,19.28587885919
biomass-bus,biomass-excess,14.304810953209799
electricity-bus,demand,185424.009566056
electricity-bus,electricity-excess,32878.543035022005
solar-energy-bus,apv-system,1078819.563591951
sun,solar-energy-bus,1078819.563591951
water-bus-in,apv-system,19.28587885919
water-bus-out,water-excess,23.1561656105723
