bus,direction,asset,carrier,facade_type,Capacity,Storage Capacity,Expandable,Investments
ac-elec-bus,in,battery-storage,electricity,storage,0.0,0.0,1.0,0.0
ac-elec-bus,in,elec-demand,electricity,load,,,,
ac-elec-bus,in,electricity-excess,electricity,excess,,,,
ac-elec-bus,in,mimo,electricity,,0.0,,1.0,
ac-elec-bus,out,backup-electricity-grid,electricity,dispatchable,0.0,,1.0,0.0
ac-elec-bus,out,battery-storage,electricity,storage,0.0,0.0,1.0,0.0
ac-elec-bus,out,inverter,electricity,conversion,0.0,,1.0,363.04561
brine-bus,in,brine-excess,water,excess,,,,
brine-bus,out,mimo,water,,0.0,,1.0,
dc-elec-bus,in,inverter,electricity,conversion,0.0,,1.0,
dc-elec-bus,out,pv,electricity,volatile,0.0,,1.0,504.23001
permeate-bus,in,permeate-demand,water,load,,,,
permeate-bus,in,water-storage,water,storage,0.0,0.0,1.0,30.609122
permeate-bus,out,mimo,water,,0.0,,1.0,60.609122
permeate-bus,out,water-storage,water,storage,0.0,0.0,1.0,30.609122
seawater-bus,in,mimo,water,,0.0,,1.0,
seawater-bus,out,seawater-source,water,dispatchable,0.0,,1.0,0.0
