timeindex,ghi,pv_profile,t_air,e,tp,windspeed,wind_turbine,ac-discharge,cf_aware
2022-01-01T00:00:00Z,3.47E-08,0,27.490845,-0.16858055,4.66E-07,8.397165,0.446,0.0033,4
2022-01-01T01:00:00Z,3.47E-08,0,27.08435,-0.16733849,4.66E-07,8.302933,0.392,0.0033,4
2022-01-01T02:00:00Z,3.47E-08,0,26.778656,-0.15133904,4.66E-07,7.7870755,0.358,0.0033,4
2022-01-01T03:00:00Z,3.47E-08,0,26.518646,-0.14444245,4.66E-07,7.5728426,0.331,0.0033,4
2022-01-01T04:00:00Z,3.47E-08,0,26.337555,-0.13056418,4.66E-07,6.9463787,0.329,0.0033,4
2022-01-01T05:00:00Z,3.47E-08,0,26.161987,-0.12775676,0.001892913,6.7692003,0.346,0.0033,4
2022-01-01T06:00:00Z,3.47E-08,0,25.958618,-0.124178015,0.005677342,6.691148,0.372,0.0033,4
2022-01-01T07:00:00Z,3.47E-08,0,25.76358,-0.1410225,0.000505243,6.814406,0.443,0.0033,4
2022-01-01T08:00:00Z,3.47E-08,0,25.711304,-0.13493694,0.003280584,7.018545,0.571,0.0033,4
2022-01-01T09:00:00Z,3.47E-08,0,25.649384,-0.13376293,0.009083655,7.1229367,0.609,0.0033,4
2022-01-01T10:00:00Z,3.47E-08,0,25.513824,-0.13789183,0.009083655,6.458723,0.635,0.0033,4
2022-01-01T11:00:00Z,3.47E-08,0.027,25.465271,-0.1417258,0.010976102,6.3147626,0.632,0.0033,4
2022-01-01T12:00:00Z,0.0343,0.197,25.537933,-0.14219086,0.01286855,6.346669,0.695,0.0033,4
2022-01-01T13:00:00Z,0.216,0.399,25.884003,-0.14869611,0.042389147,7.5958085,0.762,0.0033,4
2022-01-01T14:00:00Z,0.385,0.56,26.653503,-0.18373492,0.018166844,8.347379,0.774,0.0033,4
2022-01-01T15:00:00Z,0.552,0.663,27.387604,-0.20242833,0.004289672,8.659512,0.768,0.0033,4
2022-01-01T16:00:00Z,0.677,0.705,28.006683,-0.21296607,0.003784895,8.780091,0.758,0.0033,4
2022-01-01T17:00:00Z,0.688,0.707,28.489655,-0.21862628,0.000505243,8.549213,0.751,0.0033,4
2022-01-01T18:00:00Z,0.753,0.657,28.843231,-0.21382815,4.66E-07,8.536344,0.751,0.0033,4
2022-01-01T19:00:00Z,0.744,0.553,29.054901,-0.22430348,4.66E-07,8.681613,0.754,0.0033,4
2022-01-01T20:00:00Z,0.611,0.397,28.924194,-0.22526197,4.66E-07,8.786971,0.749,0.0033,4
2022-01-01T21:00:00Z,0.417,0.191,28.9198,-0.23945218,4.66E-07,8.653711,0.718,0.0033,4
2022-01-01T22:00:00Z,0.191,0.008,28.864227,-0.26917675,4.66E-07,8.385597,0.663,0.0033,4
2022-01-01T23:00:00Z,0.0222,0,28.309265,-0.2704245,4.66E-07,8.395418,0.628,0.0033,4
