name;type;balanced;carrier
seawater-bus;bus;True;water
ac-elec-bus;bus;True;electricity
dc-elec-bus;bus;True;electricity
permeate-bus;bus;True;water
drinking-water-bus;bus;True;water
service-water-bus;bus;True;water
brine-bus;bus;True;water
solar-bus-pv;bus;True;energy
solar-bus-crop;bus;True;energy
wind-bus;bus;True;energy
ac-discharge-bus;bus;True;water
diesel-bus;bus;True;energy
banana-bus;bus;True;banana
river-flow-bus;bus;True;energy
precipitation-bus;bus;True;water
river-water-bus;bus;True;water
