timeindex,ghi,t_air,e,tp,windspeed,t_dp,cum_temp,f_temp,f_heat,pv_power,rad_net,g,et_p,tp_ground,runoff,deep_drain,et_a,irrigation,swc,f_drought,delta_i50b,f_solar,biomass_gen,electricity_gen,water_harvest
2022-01-01T00:00:00Z,1e-10,16.36783,1e-10,1e-10,2.11893,2.19788,1e-10,0.51839,1.0,1e-10,1e-10,1e-10,0.06036,1e-10,1e-10,1e-10,1e-10,1e-10,0.13,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10
2022-01-01T01:00:00Z,1e-10,16.34314,1e-10,1e-10,2.42896,2.24634,1e-10,0.51716,1.0,1e-10,1e-10,1e-10,0.06382,1e-10,1e-10,1e-10,0.06382,0.06381,0.13,1.0,1e-10,1e-10,1e-10,1e-10,1e-10
2022-01-01T02:00:00Z,1e-10,15.45224,1e-10,1e-10,2.79072,2.20529,1e-10,0.47261,1.0,1e-10,1e-10,1e-10,0.06292,1e-10,1e-10,1e-10,0.06292,0.06291,0.13,1.0,1e-10,1e-10,1e-10,1e-10,1e-10
2022-01-01T03:00:00Z,1e-10,14.47086,1e-10,1e-10,2.95563,2.11841,1e-10,0.42354,1.0,1e-10,1e-10,1e-10,0.05925,1e-10,1e-10,1e-10,0.05925,0.05924,0.13,1.0,1e-10,1e-10,1e-10,1e-10,1e-10
2022-01-01T04:00:00Z,1e-10,13.55655,1e-10,1e-10,2.92501,1.89487,1e-10,0.37783,1.0,1e-10,1e-10,1e-10,0.05492,1e-10,1e-10,1e-10,0.05492,0.05491,0.13,1.0,1e-10,1e-10,1e-10,1e-10,1e-10
2022-01-01T05:00:00Z,1e-10,12.61884,1e-10,1e-10,2.96934,1.81061,1e-10,0.33094,1.0,1e-10,1e-10,1e-10,0.05055,1e-10,1e-10,1e-10,0.05055,0.05054,0.13,1.0,1e-10,1e-10,1e-10,1e-10,1e-10
2022-01-01T06:00:00Z,1e-10,12.18857,1e-10,1e-10,3.06556,1.58621,1e-10,0.30943,1.0,1e-10,1e-10,1e-10,0.04955,1e-10,1e-10,1e-10,0.04955,0.04954,0.13,1.0,1e-10,1e-10,1e-10,1e-10,1e-10
2022-01-01T07:00:00Z,1e-10,11.75198,1e-10,1e-10,3.09529,1.19284,1e-10,0.2876,1.0,1e-10,1e-10,1e-10,0.04872,1e-10,1e-10,1e-10,0.04872,0.04871,0.13,1.0,1e-10,1e-10,1e-10,1e-10,1e-10
2022-01-01T08:00:00Z,7.09938,11.89941,1e-10,1e-10,2.98771,0.87979,1e-10,0.29497,1.0,4.10981,4.40188,0.44019,0.05158,1e-10,1e-10,1e-10,0.05158,0.05157,0.13,1.0,1e-10,1e-10,1e-10,0.00047,1e-10
2022-01-01T09:00:00Z,131.8208,14.63348,1e-10,1e-10,2.5346,0.75974,1e-10,0.43167,1.0,74.49135,81.73388,8.17339,0.09806,1e-10,1e-10,1e-10,0.09806,0.09805,0.13,1.0,1e-10,1e-10,1e-10,0.00857,1e-10
2022-01-01T10:00:00Z,318.49188,17.98889,1e-10,1e-10,1.72102,0.48337,1e-10,0.59944,1.0,173.8874,197.47701,19.7477,0.18774,1e-10,1e-10,1e-10,0.18774,0.18773,0.13,1.0,1e-10,1e-10,1e-10,0.02,1e-10
2022-01-01T11:00:00Z,479.39014,20.77423,1e-10,1e-10,0.74802,1e-10,1e-10,0.73871,1.0,253.93753,297.24001,29.724,0.30632,1e-10,1e-10,1e-10,0.208,0.20799,0.13,0.19755,1e-10,1e-10,1e-10,0.02921,1e-10
2022-01-01T12:00:00Z,587.8257,22.28394,1e-10,1e-10,1.08641,1e-10,1e-10,0.8142,1.0,305.38422,364.47416,36.44742,0.35752,1e-10,1e-10,1e-10,0.208,0.20799,0.13,1e-10,1e-10,1e-10,1e-10,0.03513,1e-10
2022-01-01T13:00:00Z,635.40265,22.90909,1e-10,1e-10,2.20899,1e-10,1e-10,0.84545,1.0,327.30827,393.97366,39.39737,0.34363,1e-10,1e-10,1e-10,0.208,0.20799,0.13,0.01323,1e-10,1e-10,1e-10,0.03765,1e-10
2022-01-01T14:00:00Z,614.18353,23.23114,1e-10,1e-10,3.59018,1e-10,1e-10,0.86156,1.0,316.81384,380.81701,38.0817,0.31016,1e-10,1e-10,1e-10,0.208,0.20799,0.13,0.17656,1e-10,1e-10,1e-10,0.03644,1e-10
2022-01-01T15:00:00Z,527.4098,22.81924,1e-10,1e-10,4.76364,2.72266,1e-10,0.84096,1.0,275.48208,327.01401,32.7014,0.25899,1e-10,1e-10,1e-10,0.208,0.20799,0.13,0.50778,1e-10,1e-10,1e-10,0.03169,1e-10
2022-01-01T16:00:00Z,384.07816,21.75308,1e-10,1e-10,4.93121,5.42645,1e-10,0.78765,1.0,205.04831,238.14298,23.8143,0.2004,1e-10,1e-10,1e-10,0.2004,0.20039,0.13,1.0,1e-10,1e-10,1e-10,0.02359,1e-10
2022-01-01T17:00:00Z,202.34027,20.67804,1e-10,1e-10,3.83138,7.20773,1e-10,0.7339,1.0,110.86806,125.45862,12.54586,0.13998,1e-10,1e-10,1e-10,0.13998,0.13997,0.13,1.0,1e-10,1e-10,1e-10,0.01275,1e-10
2022-01-01T18:00:00Z,35.51271,18.72415,1e-10,1e-10,2.23517,9.70636,1e-10,0.63621,1.0,19.98817,22.01922,2.20192,0.06049,1e-10,1e-10,1e-10,0.06049,0.06048,0.13,1.0,1e-10,1e-10,1e-10,0.0023,1e-10
2022-01-01T19:00:00Z,1e-10,19.34549,1e-10,1e-10,1.0114,9.30774,1e-10,0.66727,1.0,1e-10,1e-10,1e-10,0.03353,1e-10,1e-10,1e-10,0.03353,0.03352,0.13,1.0,1e-10,1e-10,1e-10,1e-10,1e-10
2022-01-01T20:00:00Z,1e-10,18.099,1e-10,1e-10,0.6954,9.08203,1e-10,0.60495,1.0,1e-10,1e-10,1e-10,0.02332,1e-10,1e-10,1e-10,0.02332,0.02331,0.13,1.0,1e-10,1e-10,1e-10,1e-10,1e-10
